Cidade,Ano,Esporte,Modalidade,Event,Atleta,Sexo,Pais,Medalha,pais_iso3,pais_corrigido,Pais_limpo
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"KÖHLER, Christa",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"KOSENKOV, Aleksandr",Men,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"BOGGS, Philip George",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"CAGNOTTO, Giorgio Franco",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"WILSON, Deborah Keplar",Women,United States,Bronze,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"LOUGANIS, Gregory",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"VAYTSEKHOVSKAYA, Elena",Women,Soviet Union,Ouro,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"POTTER-MCINGVALE, Cynthia",Women,United States,Bronze,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"DIBIASI, Klaus",Men,Italy,Ouro,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"ALEINIK, Vladimir",Men,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"KNAPE-LINDBERGH, Ulrika",Women,Sweden,Prata,SWE,Sweden,Sweden
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"CHANDLER, Jennifer Kay",Women,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"BABASHOFF, Shirley Farber",Women,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,400m freestyle,"SHAW, Timothy Andrew",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"PRIEMER, Petra",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,1500m freestyle,"HOLLAND, Stephen",Men,Australia,Bronze,AUS,Australia,Australia
Montreal,1976,Esportes Aquáticos,Natação,400m individual medley,"SMIRNOV, Andrei",Men,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"ANKE, Hannelore",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,800m freestyle,"BABASHOFF, Shirley Farber",Women,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,800m freestyle,"THÜMER, Petra",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"SMITH, Rebecca",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,200m backstroke,"ROCCA, Peter Drake",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,400m freestyle,"GOODELL, Brian Stuart",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,400m individual medley,"MCKEE, Alexander Timothy",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"EVANS, Clayton",Men,Canada,Prata,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,200m freestyle,"MONTGOMERY, James Paul",Men,United States,Bronze,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,100m butterfly,"VOGEL, Matthew Haynes",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,100m backstroke,"MATTHES, Roland",Men,East Germany,Bronze,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,100m backstroke,"NABER, John Phillips",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,100m backstroke,"ROCCA, Peter Drake",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"KRAUS, Michael",Men,West Germany,Bronze,DEU,West Germany,West Germany
Montreal,1976,Esportes Aquáticos,Natação,200m freestyle,"BRIGITHA, Enith",Women,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"DUNNE, David Michael",Men,United Kingdom,Bronze,GBR,United Kingdom,United Kingdom
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"NABER, John Phillips",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"HEMPEL, Claudia",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"MAC DONALD, Gary",Men,Canada,Prata,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"BOGDANOV, Andrei",Men,Soviet Union,Prata,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,100m butterfly,"HALL, Gary Wayne",Men,United States,Bronze,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,400m individual medley,"SMITH, Rebecca",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,200m breaststroke,"KOSHEVAYA, Marina",Women,Soviet Union,Ouro,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,200m backstroke,"GARAPICK, Nancy Ellen",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,800m freestyle,"WEINBERG, Wendy Elizabeth",Women,United States,Bronze,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"MONTGOMERY, James Paul",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"RASKATOV, Vladimir",Men,Soviet Union,Prata,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"ENDER, Kornelia",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"JARDIN, Anne Elizabeth",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,100m breaststroke,"YOZAITIS, Arvidas",Men,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"WRIGHT, Camille",Women,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"KRYLOV, Andrei",Men,Soviet Union,Prata,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"DOWNIE, Gordon Hunter",Men,United Kingdom,Bronze,GBR,United Kingdom,United Kingdom
Montreal,1976,Esportes Aquáticos,Natação,200m breaststroke,"WILKIE, David Andrew",Men,United Kingdom,Ouro,GBR,United Kingdom,United Kingdom
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"PEYTON, Kim Marie",Women,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"MONTGOMERY, James Paul",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,200m butterfly,"TAUBER, Ulrike",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"CLARK, Barbara Lynny",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"AMUNDRUD, Gail",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,100m butterfly,"ENDER, Kornelia",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,200m butterfly,"BRUNER, Michael Lee",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,400m individual medley,"GIBSON, Cheryl",Women,Canada,Prata,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,200m backstroke,"NABER, John Phillips",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,200m freestyle,"ENDER, Kornelia",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,100m butterfly,"BOGLIOLI, Wendy Lansbach",Women,United States,Bronze,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"SMITH, Graham",Men,Canada,Prata,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"VOGEL, Matthew Haynes",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"SMITH-SLOAN, Susan Estelle",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"COOK-HOGG, Wendy",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,100m butterfly,"POLLACK, Andrea",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,100m butterfly,"BOTTOM, Joseph Stuart",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,400m freestyle,"THÜMER, Petra",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"RICHTER, Ulrike",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,200m freestyle,"FURNISS, Bruce Macfarlane",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,100m breaststroke,"KOSHEVAYA, Marina",Women,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,200m butterfly,"GREGG, Steven Garrett",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"ENDER, Kornelia",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"MCCLATCHEY, Alan",Men,United Kingdom,Bronze,GBR,United Kingdom,United Kingdom
Montreal,1976,Esportes Aquáticos,Natação,100m breaststroke,"RUSANOVA, Lyubov",Women,Soviet Union,Prata,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,400m individual medley,"STRACHAN, Rodney",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,400m freestyle,"RASKATOV, Vladimir",Men,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,400m individual medley,"TAUBER, Ulrike",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,1500m freestyle,"GOODELL, Brian Stuart",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"PICKELL, Stephen",Men,Canada,Prata,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,200m backstroke,"HARRIGAN, Daniel Lee",Men,United States,Bronze,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,200m butterfly,"KOTHER-GABRIEL, Rosemarie",Women,East Germany,Bronze,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"POLLACK, Andrea",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,100m freestyle,"MONTGOMERY, James Paul",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,200m breaststroke,"YURCHENYA, Marina",Women,Soviet Union,Prata,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,200m backstroke,"TREIBER, Birgit",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,200m breaststroke,"RUSANOVA, Lyubov",Women,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"BOGLIOLI, Wendy Lansbach",Women,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"BRUNER, Michael Lee",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"BABASHOFF, Shirley Farber",Women,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,100m backstroke,"TREIBER, Birgit",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,200m breaststroke,"HENCKEN, John Frederick",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,100m freestyle,"BABASHOFF, Jack, Jr.",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,200m butterfly,"POLLACK, Andrea",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,100m freestyle,"BRIGITHA, Enith",Women,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"SIERING, Laura Gail",Women,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,400m freestyle,"BABASHOFF, Shirley Farber",Women,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"KOPLYAKOV, Sergei",Men,Soviet Union,Prata,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Natação,200m breaststroke,"COLELLA, Richard Phillip Jr.",Men,United States,Bronze,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"NABER, John Phillips",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,200m freestyle,"BABASHOFF, Shirley Farber",Women,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,100m backstroke,"GARAPICK, Nancy Ellen",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"STEINBACH, Klaus",Men,West Germany,Bronze,DEU,West Germany,West Germany
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"STERKEL, Gillian Ann",Women,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,100m freestyle,"NOCKE, Peter",Men,West Germany,Bronze,DEU,West Germany,West Germany
Montreal,1976,Esportes Aquáticos,Natação,200m butterfly,"FORRESTER, William Ronald, Jr.",Men,United States,Bronze,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"NOCKE, Peter",Men,West Germany,Bronze,DEU,West Germany,West Germany
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"HENCKEN, John Frederick",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,100m breaststroke,"ANKE, Hannelore",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"POLLACK, Andrea",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"KUSCH, Walter",Men,West Germany,Bronze,DEU,West Germany,West Germany
Montreal,1976,Esportes Aquáticos,Natação,400m freestyle,"SMITH, Shannon",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"CORSIGLIA, Robin Marie",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,100m backstroke,"RICHTER, Ulrike",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,1500m freestyle,"HACKETT, Robert William",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,100m breaststroke,"WILKIE, David Andrew",Men,United Kingdom,Prata,GBR,United Kingdom,United Kingdom
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"BRINKLEY, Brian",Men,United Kingdom,Bronze,GBR,United Kingdom,United Kingdom
Montreal,1976,Esportes Aquáticos,Natação,100m breaststroke,"HENCKEN, John Frederick",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,200m freestyle,"NABER, John Phillips",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x200m freestyle relay,"FURNISS, Bruce Macfarlane",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,4x100m medley relay,"JEZEK, Linda Louise",Women,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Natação,100m freestyle,"PRIEMER, Petra",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,4x100m freestyle relay,"JARDIN, Anne Elizabeth",Women,Canada,Bronze,CAN,Canada,Canada
Montreal,1976,Esportes Aquáticos,Natação,200m backstroke,"RICHTER, Ulrike",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Natação,100m freestyle,"ENDER, Kornelia",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"DE ZWARTE, Pieter",Men,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"VEER, Jan Evert",Men,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"KROON, Evert Gerrit",Men,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"HORKAI, Gyorgy",Men,Hungary,Ouro,HUN,Hungary,Hungary
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"CASTAGNOLA, Luigi",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"SMITS, Hans",Men,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"STROBOER, Gijsbert (Gijs)",Men,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"CSAPO, Gabor",Men,Hungary,Ouro,HUN,Hungary,Hungary
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"CSERVENYAK, Tibor",Men,Hungary,Ouro,HUN,Hungary,Hungary
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"GERENDAS, Gyorgy",Men,Hungary,Ouro,HUN,Hungary,Hungary
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"BUUNK, Antoon G.J.",Men,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"SUDAR, Attila",Men,Hungary,Ouro,HUN,Hungary,Hungary
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"KENEZ, Gyorgy",Men,Hungary,Ouro,HUN,Hungary,Hungary
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"MOLNAR, Endre",Men,Hungary,Ouro,HUN,Hungary,Hungary
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"BOEGSCHOTEN, Alexander",Men,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"SAROSI, Laszlo",Men,Hungary,Ouro,HUN,Hungary,Hungary
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"DEL DUCA, Marcello",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"SIMEONI, Roldano",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"ALBERANI SAMARITANI, Alberto",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"BARACCHINI, Silvio",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"PANERAI, Umberto",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"MARSILI, Sante",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"DE MAGISTRIS, Gianni",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"KONRAD, Ferenc",Men,Hungary,Ouro,HUN,Hungary,Hungary
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"TOONEN, Hendrik (Rik)",Men,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"DE MAGISTRIS, Riccardo",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"SZIVOS, Istvan",Men,Hungary,Ouro,HUN,Hungary,Hungary
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"LANDEWEERD, Nicolaas",Men,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"FARAGO, Tamas",Men,Hungary,Ouro,HUN,Hungary,Hungary
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"HOEPELMAN, Andries",Men,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"GHIBELLINI, Alessandro",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"D, Vincenzo",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Water polo,water polo,"VAN ZEELAND, Hans",Men,Netherlands,Bronze,NLD,Netherlands,Netherlands
Montreal,1976,Tiro com Arco,Tiro com Arco,individual FITA round,"RYON, Luann Marie",Women,United States,Ouro,USA,United States,United States
Montreal,1976,Tiro com Arco,Tiro com Arco,individual FITA round,"PACE, Darrell Owen",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Tiro com Arco,Tiro com Arco,individual FITA round,"MICHINAGA, Hiroshi",Men,Japan,Prata,JPN,Japan,Japan
Montreal,1976,Tiro com Arco,Tiro com Arco,individual FITA round,"FERRARI, Giancarlo",Men,Italy,Bronze,ITA,Italy,Italy
Montreal,1976,Tiro com Arco,Tiro com Arco,individual FITA round,"RUSTAMOVA, Zebiniso",Women,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Tiro com Arco,Tiro com Arco,individual FITA round,"KOVPAN, Valentina",Women,Soviet Union,Prata,RUS,Soviet Union,Soviet Union
Montreal,1976,Atletismo,Atletismo,4x400m relay,"STROPAHL-STREIDT, Ellen",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Atletismo,Atletismo,4x100m relay,"RICHTER-IRRGANG, Annegret",Women,West Germany,Prata,DEU,West Germany,West Germany
Montreal,1976,Atletismo,Atletismo,long jump,"ROBINSON, Arnie",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Atletismo,Atletismo,4x400m relay,"HERRMANN, Bernd",Men,West Germany,Bronze,DEU,West Germany,West Germany
Montreal,1976,Atletismo,Atletismo,4x400m relay,"FRAZIER, Herman Ronald",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Atletismo,Atletismo,high jump,"WITSCHAS-ACKERMANN, Rosemarie",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Atletismo,Atletismo,100m hurdles,"SCHALLER-KLIER, Johanna",Women,East Germany,Ouro,DEU,East Germany,East Germany
Montreal,1976,Atletismo,Atletismo,400m Rasos,"JUANTORENA, Alberto",Men,Cuba,Ouro,CUB,Cuba,Cuba
Montreal,1976,Atletismo,Atletismo,5000m,"HILDENBRAND, Klaus-Peter",Men,West Germany,Bronze,DEU,West Germany,West Germany
Montreal,1976,Atletismo,Atletismo,100m Rasos,"STECHER, Renate",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Atletismo,Atletismo,4x100m relay,"RIDDICK, Steven Earl",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Atletismo,Atletismo,pentathlon,"BODNER-LASER, Christine",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Atletismo,Atletismo,long jump,"WARTENBERG, Frank",Men,East Germany,Bronze,DEU,East Germany,East Germany
Montreal,1976,Atletismo,Atletismo,200m Rasos,"EVANS, Dwayne Eugene",Men,United States,Bronze,USA,United States,United States
Montreal,1976,Atletismo,Atletismo,200m Rasos,"HAMPTON, Millard Frank Jr.",Men,United States,Prata,USA,United States,United States
Montreal,1976,Atletismo,Atletismo,hammer throw,"SEDYKH, Yuri",Men,Soviet Union,Ouro,RUS,Soviet Union,Soviet Union
Montreal,1976,Atletismo,Atletismo,pentathlon,"POLLAK, Burglinde",Women,East Germany,Bronze,DEU,East Germany,East Germany
Montreal,1976,Atletismo,Atletismo,decathlon,"AVILOV, Nikolai",Men,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Atletismo,Atletismo,high jump,"STONES, Dwight Edwin",Men,United States,Bronze,USA,United States,United States
Montreal,1976,Atletismo,Atletismo,800m Rasos,"WOHLHUTER, Richard Charles",Men,United States,Bronze,USA,United States,United States
Montreal,1976,Atletismo,Atletismo,100m hurdles,"ANISIMOVA, Tatiana",Women,Soviet Union,Prata,RUS,Soviet Union,Soviet Union
Montreal,1976,Atletismo,Atletismo,800m Rasos,"KAZANKINA, Tatiana",Women,Soviet Union,Ouro,RUS,Soviet Union,Soviet Union
Montreal,1976,Atletismo,Atletismo,4x400m relay,"WERNER, Jan",Men,Poland,Prata,POL,Poland,Poland
Montreal,1976,Atletismo,Atletismo,4x100m relay,"THIEME, Alexander",Men,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Atletismo,Atletismo,200m Rasos,"STECHER, Renate",Women,East Germany,Bronze,DEU,East Germany,East Germany
Montreal,1976,Atletismo,Atletismo,shot put,"BARYSHNIKOV, Aleksandr",Men,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Atletismo,Atletismo,high jump,"JOY, Gregory",Men,Canada,Prata,CAN,Canada,Canada
Montreal,1976,Atletismo,Atletismo,hammer throw,"BONDARCHUK, Anatoli",Men,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Atletismo,Atletismo,100m Rasos,"BORZOV, Valery",Men,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Atletismo,Atletismo,800m Rasos,"CHTEREVA, Nikolina",Women,Bulgaria,Prata,BGR,Bulgaria,Bulgaria
Montreal,1976,Atletismo,Atletismo,3000m steeplechase,"MALINOWSKI, Bronislaw",Men,Poland,Prata,POL,Poland,Poland
Montreal,1976,Atletismo,Atletismo,1500m,"HOFFMEISTER, Gunhild",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Atletismo,Atletismo,4x400m relay,"INGRAM, Sheila Rena",Women,United States,Prata,USA,United States,United States
Montreal,1976,Atletismo,Atletismo,triple jump,"BUTTS, James A.",Men,United States,Prata,USA,United States,United States
